Date,Open,High,Low,Close,AdjClose,Volume
2019-03-08,7.200000,7.200000,7.070000,7.070000,6.685453,2281852
2019-03-11,6.960000,7.030000,6.880000,6.920000,6.543612,5485859
2019-03-12,6.980000,7.070000,6.860000,6.890000,6.515244,4447832
2019-03-13,6.870000,7.080000,6.600000,6.690000,6.326122,6649761
2019-03-14,6.660000,6.730000,6.560000,6.630000,6.269386,5004077
2019-03-15,6.690000,6.950000,6.690000,6.710000,6.345035,3255241
2019-03-18,6.770000,6.800000,6.680000,6.800000,6.430140,3163600
2019-03-19,6.750000,6.840000,6.700000,6.830000,6.458508,2366738
2019-03-20,6.760000,6.800000,6.710000,6.760000,6.392315,2373500
2019-03-21,6.760000,6.800000,6.720000,6.760000,6.392315,3353627
2019-03-22,6.720000,6.760000,6.650000,6.690000,6.326122,7355050
2019-03-25,6.680000,6.680000,6.430000,6.530000,6.174825,4930000
2019-03-26,6.620000,6.650000,6.570000,6.600000,6.241017,1520136
2019-03-27,6.600000,6.600000,6.540000,6.560000,6.203193,3257844
2019-03-28,6.600000,6.660000,6.550000,6.650000,6.288298,3704498
2019-03-29,6.600000,6.730000,6.600000,6.690000,6.326122,2382200
2019-04-01,6.770000,6.880000,6.670000,6.800000,6.430140,6717992
2019-04-02,6.860000,6.930000,6.700000,6.760000,6.392315,8172927
2019-04-03,6.800000,6.860000,6.780000,6.830000,6.458508,4284000
2019-04-04,6.900000,6.900000,6.800000,6.870000,6.496332,4139600
2019-04-08,6.930000,6.930000,6.690000,6.770000,6.401771,4253121
2019-04-09,6.810000,6.810000,6.720000,6.770000,6.401771,2696400
2019-04-10,6.790000,6.790000,6.650000,6.720000,6.354491,5198070
2019-04-11,6.720000,6.770000,6.660000,6.690000,6.326122,2259025
2019-04-12,6.740000,6.740000,6.520000,6.560000,6.203193,5297000
2019-04-15,6.590000,6.650000,6.470000,6.520000,6.165369,5114000
2019-04-16,6.550000,6.550000,6.400000,6.480000,6.127545,4622279
2019-04-17,6.530000,6.540000,6.430000,6.500000,6.146457,4142735
2019-04-18,6.460000,6.570000,6.450000,6.560000,6.203193,3770589
2019-04-23,6.580000,6.580000,6.430000,6.440000,6.089720,4772594
2019-04-24,6.410000,6.520000,6.410000,6.470000,6.118088,1736983
2019-04-25,6.510000,6.510000,6.400000,6.400000,6.051896,3396409
2019-04-26,6.620000,6.620000,6.340000,6.470000,6.118088,7223700
2019-04-29,6.440000,6.460000,6.200000,6.450000,6.099176,1780560
2019-04-30,6.380000,6.390000,6.300000,6.360000,6.014071,5168000
2019-05-02,6.410000,6.410000,6.220000,6.320000,5.976247,3167000
2019-05-03,6.350000,6.380000,6.270000,6.370000,6.023528,3713391
2019-05-06,6.250000,6.300000,6.170000,6.220000,5.881686,6093789
2019-05-07,6.220000,6.340000,6.220000,6.240000,5.900599,3819000
2019-05-08,6.100000,6.150000,5.960000,5.970000,5.784330,5418000
2019-05-09,6.020000,6.020000,5.780000,5.810000,5.629306,6936392
2019-05-10,5.910000,5.930000,5.750000,5.760000,5.580862,11517116
2019-05-14,5.550000,5.580000,5.320000,5.520000,5.348325,12450831
2019-05-15,5.420000,5.650000,5.420000,5.460000,5.290192,6599288
2019-05-16,5.460000,5.580000,5.430000,5.480000,5.309569,5162024
2019-05-17,5.530000,5.530000,5.340000,5.360000,5.193302,4892000
2019-05-20,5.350000,5.410000,5.160000,5.240000,5.077034,5158772
2019-05-21,5.250000,5.310000,5.170000,5.250000,5.086723,3174000
2019-05-22,5.280000,5.320000,5.160000,5.190000,5.028589,4322300
2019-05-23,5.190000,5.190000,5.020000,5.050000,4.892943,5438993
2019-05-24,5.010000,5.100000,5.000000,5.030000,4.873565,4644944
2019-05-27,5.050000,5.070000,4.900000,5.000000,4.844498,7080979
2019-05-28,5.040000,5.250000,5.040000,5.130000,4.970455,20835670
2019-05-29,5.100000,5.140000,5.050000,5.070000,4.912321,4283738
2019-05-30,5.070000,5.190000,5.060000,5.140000,4.980144,2028013
